Study_id,Instance,Monomer_A,Monomer_B,Monomer_C,3HB_ratio,3HV_ratio,4HV_ratio,Mw,Units_Mw,Mn,Units_Mn,PDI,Shape,Diameter,Diameter_Units,Length,Units_Length,Thickness,Units_Thickness,Zeta_Potential,Units_Zeta_Potential,Additive1,Additive1_Name,Additive1_Percentage,Additive1_Use,Additive2_Name,Additive2_Percentage,Additive2_Use,Additive3_Name,Additive3_Percentage,Additive3_Use,Polymer_Percentage,Species_Name,Species_Group,Initial_Organism_Age,Units_Initial_Organism_Age,Initial_Organism_Size,Units_Initial_Organism_Size,Exposure_type,Media_type,Test_location,Tested_Concentration,Units_Tested_Concentration,Observation_Period,Units_Observation_Period,Exposure_Regime,EC_10,EC_10_Units,EC_20,EC_20_Units,EC_50,EC_50_Units,Toxic_Units,LC_50,LC_50_Units,LD_50,LD_50_Units,Mortality_Percentage,Body_Mass_Change_Percentage,Size_Increase,Size_Increase_Units,Number_of_Juveniles,Number_of_Cocoons,SGI_Percentage,Survival_rate_percentage,Normal_Plutei_Percentage,SGR,SGR_Units,WG,WG_Units,Plant_Height,Plant_Height_Units,Shoot_Biomass,Shoot_Biomass_Units,Foliar_C_N_ratio,Plant_Growth,Toxicity_Grade,Toxicity_Classification
10,2,3HB,,,100.0,0.0,0.0,,,,,,Film,,,,,40.0,μm,,,Yes,PBAT,72.0,Polymer_Matrix,,0.0,not_applicable,,0.0,not_applicable,28.0,Lycopersicon__Esculentum,Terrestrial_Plant,,,,,Mulch_extract,MS_plant_culture_medium_ME,Lab,,,21.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,mg,,,1,Moderately_Toxic
11,1,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Lepidium_Sativum,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,28.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.364963503649,0,Non_Toxic
11,2,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,Yes,a_PHB,50.0,Flexibilizer,,0.0,not_applicable,,0.0,not_applicable,50.0,Lepidium_Sativum,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,28.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.554744525547,0,Non_Toxic
11,3,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,Yes,PLLA,50.0,Structural,,0.0,not_applicable,,0.0,not_applicable,50.0,Lepidium_Sativum,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,28.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6350364963503,0,Non_Toxic
11,4,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Lepidium_Sativum,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,183.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.729927007299,0,Non_Toxic
11,5,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,Yes,a_PHB,50.0,Flexibilizer,,0.0,not_applicable,,0.0,not_applicable,50.0,Lepidium_Sativum,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,183.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.189781021897,0,Non_Toxic
11,6,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,Yes,PLLA,50.0,Structural,,0.0,not_applicable,,0.0,not_applicable,50.0,Lepidium_Sativum,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,183.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.649635036496,0,Non_Toxic
11,7,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Hordeum_Vulgare,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,28.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.729927007299,0,Non_Toxic
11,8,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,Yes,a_PHB,50.0,Flexibilizer,,0.0,not_applicable,,0.0,not_applicable,50.0,Hordeum_Vulgare,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,28.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.189781021897,0,Non_Toxic
11,9,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,Yes,PLLA,50.0,Structural,,0.0,not_applicable,,0.0,not_applicable,50.0,Hordeum_Vulgare,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,28.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1107721147563,0,Non_Toxic
